origins,destinations,counts,lon_o,lat_o,lon_d,lat_d
Brookfield Zoo,Texas State Aquarium,1,-87.8357137,41.8328916,-97.39196919999999,27.8137645
"Bullfrog Creek, Florida",Clearwater Marine Aquarium,1,-82.3502403,27.7947922,-82.8191129,27.9768545
Busch Gardens Tampa,Discovery Cove Orlando,1,-82.41949009999999,28.0372161,-81.4597077,28.4060928
Busch Gardens Tampa,"Dolphin Connection, Florida",1,-82.41949009999999,28.0372161,-80.9096457,24.7764696
Carr Inlet,Seattle Marine Aquarium,1,-122.7026778,47.2665812,-122.3429996,47.607445
Cedar Point,Dolphin Research Center,1,-82.6835206,41.482207,-74.9064696,38.9513858
"Churchill Oaks, Louisiana",Audubon Aquarium,1,-86.247351,30.3888707,-90.06293869999999,29.950508
"Clearwater Beach, Florida",Clearwater Marine Aquarium,1,-82.8285877,27.972065,-82.8191129,27.9768545
Clearwater Marine Aquarium,Dolphin Research Center,1,-82.8191129,27.9768545,-74.9064696,38.9513858
"Corpus Christi, Texas","Texas State Aquarium, Sea Lab",1,-97.39638099999999,27.8005828,-97.39196919999999,27.8137645
"Curacao, Caribbean",Dolphin Academy,1,-68.99002,12.16957,-82.1229824,33.5234437
Discovery Cove Orlando,Discovery Cove Orlando,1,-81.4597077,28.4060928,-81.4597077,28.4060928
Discovery Cove Orlando,SeaWorld San Antonio,1,-81.4597077,28.4060928,-98.69931509999999,29.4584176
Dolfinarium Harderwijk,Windsor Safari Park,1,5.6171798,52.3541391,-0.6187676999999999,51.4667179
Dolphin Academy,SeaWorld San Diego,1,-82.1229824,33.5234437,-117.2266083,32.7647903
"Dolphin Connection, Florida",Dolphin Quest Bermuda,1,-80.9096457,24.7764696,-64.832494,32.328178
"Dolphin Connection, Florida",EPCOT,1,-80.9096457,24.7764696,-81.549404,28.374694
"Dolphin Connection, Florida",Minnesota Zoo,1,-80.9096457,24.7764696,-93.19667179999999,44.767807
Dolphin Research Center,Montreal Aquarium,1,-74.9064696,38.9513858,-73.652413,45.567919
Dolphin Research Center,New York Aquarium,1,-74.9064696,38.9513858,-73.9748754,40.5742632
Dolphin Research Center,Theater of the Sea,1,-74.9064696,38.9513858,-71.5627531,41.3770733
"Dolphin Resort, Dominica",Dolphins Plus,1,-61.4403695,15.4362912,-80.41895989999999,25.1189869
Dolphins Plus,"Prospect Reef Resort, Tortola",1,-80.41895989999999,25.1189869,-64.63327819999999,18.4334704
Dolphins Plus,Theater of the Sea,1,-80.41895989999999,25.1189869,-71.5627531,41.3770733
Florida,Marineland of the Pacific,1,-81.5157535,27.6648274,-118.3980757,33.7363084
Florida,"MARS, Keys Marine Lab",1,-81.5157535,27.6648274,-80.8139384,24.8263277
Florida,Point Defiance Zoo,1,-81.5157535,27.6648274,-122.5208211,47.3048779
Florida,Quinlan Marine Attractions,1,-81.5157535,27.6648274,-96.13552949999999,32.9103998
Florida,Santini's Dolphin Research Center,1,-81.5157535,27.6648274,-80.945509,24.766967
Florida,Sugarloaf Dolphin Sanctuary,1,-81.5157535,27.6648274,-76.6082871,39.2850948
Florida,to SeaWorld Orlando,1,-81.5157535,27.6648274,-81.4617047,28.4114555
Florida,West Edmonton Mall,1,-81.5157535,27.6648274,-113.6241906,53.5225151
"Florida, Gulf Coast",Marine Animal Productions,1,-81.7733903,26.4643209,-89.0187972,30.4204487
"Florida, Gulf Coast","Private owner, Punta Gorda",1,-81.7733903,26.4643209,-82.0453664,26.9297836
"Fort Pierce, Florida","Fort Pierce, Florida",1,-80.3256056,27.4467056,-80.3256056,27.4467056
"Fort Pierce, Florida",Marine Mammal Conservancy,1,-80.3256056,27.4467056,-80.41734199999999,25.122698
"Fourchon Beach, Louisiana",Audubon Aquarium,1,-90.1812288,29.1081231,-90.06293869999999,29.950508
Grindavik Harbor,Dolfinarium Harderwijk,1,-22.4247121,63.8400911,5.6171798,52.3541391
Gulf of Mexico,Audubon Zoo,1,-90.065918,25.304304,-90.1313766,29.9237134
Gulf of Mexico,Brookfield Zoo,1,-90.065918,25.304304,-87.8357137,41.8328916
Gulf of Mexico,Gulf World Marine Park,1,-90.065918,25.304304,-85.8671863,30.2111627
Gulf of Mexico,possibly Marine Animal Productions,1,-90.065918,25.304304,-89.0187972,30.4204487
"Gulf Shores, Alabama",Inst. of Marine Mammal Studies,1,-87.70081929999999,30.2460361,-89.0187972,30.4204487
Gulf World Marine Park,Clearwater Marine Aquarium,1,-85.8671863,30.2111627,-82.8191129,27.9768545
Gulf World Marine Park,Dolphin Research Center,1,-85.8671863,30.2111627,-74.9064696,38.9513858
Gulf World Marine Park,Marineland of Florida,1,-85.8671863,30.2111627,-81.213398,29.6688614
Gulf World Marine Park,Mirage Dolphin Habitat,1,-85.8671863,30.2111627,-115.1784079,36.1203291
Gulfarium,Six Flags Discovery Kingdom,1,-86.593546,30.394468,-122.2340155,38.13819549999999
Hafnarfjordur Aquarium,Sao Paulo Playcenter,1,-21.9554001,64.0678342,-46.5044526,-23.5660883
Hafnarfjordur Aquarium,SeaWorld San Diego,1,-21.9554001,64.0678342,-117.2266083,32.7647903
"Hudson Bay, Manitoba",Duisburg Zoo,1,-98.647012899999993,49.1963343,6.8061729,51.4362611
"Hudson Bay, Manitoba",Seattle Aquarium,1,-98.647012899999993,49.1963343,-122.3429996,47.607445
"Hull Aquarium, Mass.",Theater of the Sea,1,-71.0497542,42.3591346,-71.5627531,41.3770733
Iceland,Grindavik Harbor,1,-19.020835,64.963051,-22.4247121,63.8400911
Iceland,Vancouver Aquarium,1,-19.020835,64.963051,-123.1309293,49.3007961
"Indian River, Florida",Clearwater Marine Aquarium,1,-80.6431877,28.2142068,-82.8191129,27.9768545
"Indian Rocks Beach, Florida",Mote Marine Laboratory,1,-82.84656100000001,27.8960019,-82.57789729999999,27.3333406
Indianapolis Zoo,John G. Shedd Aquarium,1,-86.18073,39.767442,-87.614038,41.8675726
Indianapolis Zoo,SeaWorld Orlando,1,-86.18073,39.767442,-81.4617047,28.4114555
Indianapolis Zoo,Shedd Aquarium,1,-86.18073,39.767442,-87.614038,41.8675726
Inst. of Marine Mammal Studies,Naval Base Point Loma,1,-89.0187972,30.4204487,-117.2400346,32.6889711
"Jacksonville, Florida",Gulf World Marine Park,1,-81.65565099999999,30.3321838,-85.8671863,30.2111627
Japan,Indianapolis Zoo,1,138.252924,36.204824,-86.18073,39.767442
Japan,Naval Base Point Loma,1,138.252924,36.204824,-117.2400346,32.6889711
Japan,Seven Seas Texas,1,138.252924,36.204824,-95.2769379,29.80206
Japan,Taiji,1,138.252924,36.204824,-94.21867499999999,36.391527
John G. Shedd Aquarium,Indianapolis Zoo,1,-87.614038,41.8675726,-86.18073,39.767442
"Kahala Hilton, Pre-Dolphin Quest",Dolphin Quest Hawaii,1,-157.773445,21.271999,-155.889022,19.925505
Kahala Oriental Hotel,Sea Life Park,1,-157.773651,21.271847,-94.5814528,39.0820485
Key Largo Porpoise Pens,Theater of the Sea,1,-80.4472802,25.0865151,-71.5627531,41.3770733
Key West,SeaWorld,1,-81.7799871,24.5550593,-81.4617047,28.4114555
La Feria de Chapultapec,Georgia Aquarium,1,-99.19622749999999,19.4146944,-84.3951098,33.763382
La Feria de Chapultepec,Georgia Aquarium,1,-99.19622749999999,19.4146944,-84.3951098,33.763382
Los Angeles Zoo,Naval Base Point Loma,1,-118.2838126,34.149869700000004,-117.2400346,32.6889711
Lower Matecumbe Key,Dolphin Research Center,1,-80.7145116,24.865281,-74.9064696,38.9513858
Marine Animal Productions,Aquarium of Niagara Falls,1,-89.0187972,30.4204487,-79.060138,43.09431
Marine Animal Productions,Marine World Africa USA,1,-89.0187972,30.4204487,-122.2340155,38.13819549999999
Marine Animal Productions,Theater of the Sea,1,-89.0187972,30.4204487,-71.5627531,41.3770733
Marine Mammal Conservancy,Dolphins Plus,1,-80.41734199999999,25.122698,-80.41895989999999,25.1189869
Marine World Africa USA,Marineland of the Pacific,1,-122.2340155,38.13819549999999,-118.3980757,33.7363084
Marineland Antibes,Six Flags Great Adventure,1,7.1267891,43.6145842,-74.4402149,40.1370678
Marineland of Florida,Florida,1,-81.213398,29.6688614,-81.5157535,27.6648274
Marineland of Florida,Georgia Aquarium,1,-81.213398,29.6688614,-84.3951098,33.763382
Marineland of the Pacific,Six Flags Discovery Kingdom,1,-118.3980757,33.7363084,-122.2340155,38.13819549999999
"MARS, Keys Marine Lab",Theater of the Sea,1,-80.8139384,24.8263277,-71.5627531,41.3770733
"Matagorda Island, Texas",Texas MM Stranding Network,1,-96.7386946,28.1688928,-94.8139686,29.2758286
"Melbourne Beach, Florida",SeaWorld Orlando,1,-80.56033029999999,28.0683496,-81.4617047,28.4114555
Miami Seaquarium,Cedar Point,1,-80.1648518,25.7342958,-82.6835206,41.482207
Minnesota Zoo,National Aquarium in Baltimore,1,-93.19667179999999,44.767807,-76.6082871,39.2850948
Minnesota Zoo,SeaWorld Aurora,1,-93.19667179999999,44.767807,-81.36843999999999,41.34552
Minnesota Zoo,Six Flags Discovery Kingdom,1,-93.19667179999999,44.767807,-122.2340155,38.13819549999999
Mirage Dolphin Habitat,SeaWorld San Diego,1,-115.1784079,36.1203291,-117.2266083,32.7647903
Montreal Aquarium,New England Aquarium,1,-73.652413,45.567919,-71.0497542,42.3591346
"Mosquito Lagoon, Florida",Clearwater Marine Aquarium,1,-80.7990185,28.8361255,-82.8191129,27.9768545
Mote Marine Laboratory,"Fort Pierce, Florida",1,-82.57789729999999,27.3333406,-80.3256056,27.4467056
Mote Marine Laboratory,Indianapolis Zoo,1,-82.57789729999999,27.3333406,-86.18073,39.767442
Mustang Island,Texas State Aquarium,1,-97.1628647,27.7103944,-97.39196919999999,27.8137645
Mystic Aquarium,Aquarium of Niagara Falls,1,-71.9532523,41.373346,-79.060138,43.09431
"Napa River, Peru",Marineland of Florida,1,-74.7033405,-1.7987157,-81.213398,29.6688614
National Aquarium in Baltimore,Brookfield Zoo,1,-76.6082871,39.2850948,-87.8357137,41.8328916
National Aquarium in Baltimore,"Dolphin Connection, Florida",1,-76.6082871,39.2850948,-80.9096457,24.7764696
Naval Base Point Loma,Clearwater Marine Aquarium,1,-117.2400346,32.6889711,-82.8191129,27.9768545
Naval Base Point Loma,Dolphin Research Center,1,-117.2400346,32.6889711,-74.9064696,38.9513858
Near Key West,Florida,1,-81.7799871,24.5550593,-81.5157535,27.6648274
New England Aquarium,Brookfield Zoo,1,-71.0497542,42.3591346,-87.8357137,41.8328916
New York Aquarium,Dolphin Research Center,1,-73.9748754,40.5742632,-74.9064696,38.9513858
New York Aquarium,SeaWorld San Diego,1,-73.9748754,40.5742632,-117.2266083,32.7647903
North Atlantic,Iceland,1,-28.6731465,-14.5994134,-19.020835,64.963051
Ocean Park Hong Kong,Naval Base Point Loma,1,114.1757239,22.2466607,-117.2400346,32.6889711
Ocean Reef Club,Florida,1,-80.27799320000001,25.3143234,-81.5157535,27.6648274
Ocean Reef Club,Ocean Reef Club,1,-80.27799320000001,25.3143234,-80.27799320000001,25.3143234
Ocean World Ft Lauderdale,Dolphin Research Center,1,-80.11270549999999,26.5708925,-74.9064696,38.9513858
"Okhotsk Sea, Russia",Utrish,1,149.3658173,52.87362299999999,37.3864462,44.7597663
Pacific Ocean,Los Angeles Zoo,1,-124.508523,-8.783195,-118.2838126,34.149869700000004
Pacific Ocean,Marine World Africa USA,1,-124.508523,-8.783195,-122.2340155,38.13819549999999
Pacific Ocean,Ocean Park Hong Kong,1,-124.508523,-8.783195,114.1757239,22.2466607
Pacific Ocean,Sea Life Park,1,-124.508523,-8.783195,-94.5814528,39.0820485
"Panama City, Florida",Gulf World Marine Park,1,-85.6602058,30.1588129,-85.8671863,30.2111627
"Pedder Bay, British Columbia",Marineland of Canada,1,-123.5775679,48.3493047,-79.07060059999999,43.0649729
"Pender Harbor, British Columbia",Marineland of the Pacific,1,-124.0437555,49.635314,-118.3980757,33.7363084
Penn Cove,Penn Cove,1,-122.7073322,48.229184,-122.7073322,48.229184
Penn Cove,Seattle Marine Aquarium,1,-122.7073322,48.229184,-122.3429996,47.607445
Penn Cove,SeaWorld San Diego,1,-122.7073322,48.229184,-117.2266083,32.7647903
"Penn Cove, off Whidbey Island",Penn Cove,1,-122.7073322,48.229184,-122.7073322,48.229184
Point Defiance Zoo,SeaWorld San Antonio,1,-122.5208211,47.3048779,-98.69931509999999,29.4584176
Point Defiance Zoo,SeaWorld San Diego,1,-122.5208211,47.3048779,-117.2266083,32.7647903
"Ponce Inlet, Florida",Harbor Branch Institute,1,-80.9369983,29.0963729,-80.3600221,27.5351376
"Port Isabel, Texas",UT Pan-Am Coastal Studies Lab,1,-97.2085844,26.0734119,-97.15857109999999,26.0752042
possibly Marine Animal Productions,Naval Base Point Loma,1,-89.0187972,30.4204487,-117.2400346,32.6889711
"Private owner, Punta Gorda",Key Largo Porpoise Pens,1,-82.0453664,26.9297836,-80.4472802,25.0865151
"Prospect Reef Resort, Tortola","Dolphin Resort, Dominica",1,-64.63327819999999,18.4334704,-61.4403695,15.4362912
Puget Sound,Puget Sound,1,-122.4713352,47.7236535,-122.4713352,47.7236535
Puget Sound,SeaWorld San Diego,1,-122.4713352,47.7236535,-117.2266083,32.7647903
Quinlan Marine Attractions,Busch Gardens Tampa,1,-96.13552949999999,32.9103998,-82.41949009999999,28.0372161
Quinlan Marine Attractions,National Aquarium in Baltimore,1,-96.13552949999999,32.9103998,-76.6082871,39.2850948
Quinlan Marine Attractions,SeaWorld Orlando,1,-96.13552949999999,32.9103998,-81.4617047,28.4114555
Quinlan Marine Attractions,SeaWorld San Diego,1,-96.13552949999999,32.9103998,-117.2266083,32.7647903
"Quintana Beach, Texas",Texas MM Stranding Network,1,-95.30827110000001,28.9333037,-94.8139686,29.2758286
"Re-Capture, Virgin Islands",Dolphin Research Center,1,-109.4392971,37.6658236,-74.9064696,38.9513858
"Redington Beach, Florida",Clearwater Marine Aquarium,1,-82.81121399999999,27.8086364,-82.8191129,27.9768545
Santini's Dolphin Research Center,Brookfield Zoo,1,-80.945509,24.766967,-87.8357137,41.8328916
Sao Paulo Playcenter,SeaWorld Aurora,1,-46.5044526,-23.5660883,-81.36843999999999,41.34552
Sea Life Park,Dolphin Quest Hawaii,1,-94.5814528,39.0820485,-155.889022,19.925505
Sealand of Cape Cod,Mystic Aquarium,1,-70.29624079999999,41.6687897,-71.9532523,41.373346
Seattle Aquarium,SeaWorld San Diego,1,-122.3429996,47.607445,-117.2266083,32.7647903
Seattle Marine Aquarium,Windsor Safari Park,1,-122.3429996,47.607445,-0.6187676999999999,51.4667179
SeaWorld Aurora,National Aquarium in Baltimore,1,-81.36843999999999,41.34552,-76.6082871,39.2850948
SeaWorld Orlando,"Avalon Beach, Florida",1,-81.4617047,28.4114555,-87.1016345,30.5301956
SeaWorld Orlando,"Dolphin Connection, Florida",1,-81.4617047,28.4114555,-80.9096457,24.7764696
SeaWorld Orlando,Dolphin Research Center,1,-81.4617047,28.4114555,-74.9064696,38.9513858
SeaWorld Orlando,Marineland of Canada,1,-81.4617047,28.4114555,-79.07060059999999,43.0649729
SeaWorld Orlando,New England Aquarium,1,-81.4617047,28.4114555,-71.0497542,42.3591346
SeaWorld San Antonio,Busch Gardens Tampa,1,-98.69931509999999,29.4584176,-82.41949009999999,28.0372161
SeaWorld San Antonio,Miami Seaquarium,1,-98.69931509999999,29.4584176,-80.1648518,25.7342958
SeaWorld San Antonio,Minnesota Zoo,1,-98.69931509999999,29.4584176,-93.19667179999999,44.767807
SeaWorld San Antonio,Mirage Dolphin Habitat,1,-98.69931509999999,29.4584176,-115.1784079,36.1203291
SeaWorld San Antonio,Shedd Aquarium,1,-98.69931509999999,29.4584176,-87.614038,41.8675726
SeaWorld San Diego,Busch Gardens Tampa,1,-117.2266083,32.7647903,-82.41949009999999,28.0372161
SeaWorld San Diego,Gulfarium,1,-117.2266083,32.7647903,-86.593546,30.394468
SeaWorld San Diego,Mirage Dolphin Habitat,1,-117.2266083,32.7647903,-115.1784079,36.1203291
SeaWorld San Diego,Point Defiance Zoo,1,-117.2266083,32.7647903,-122.5208211,47.3048779
SeaWorld San Diego,SeaWorld,1,-117.2266083,32.7647903,-81.4617047,28.4114555
Seven Seas Texas,Marineland of Canada,1,-95.2769379,29.80206,-79.07060059999999,43.0649729
Shark World Aquatarium,Marineland of Florida,1,-75.6826741,44.5876895,-81.213398,29.6688614
Shedd Aquarium,Georgia Aquarium,1,-87.614038,41.8675726,-84.3951098,33.763382
Shedd Aquarium,Indianapolis Zoo,1,-87.614038,41.8675726,-86.18073,39.767442
Shedd Aquarium,Point Defiance Zoo,1,-87.614038,41.8675726,-122.5208211,47.3048779
"Shell Island, Florida",SeaWorld Orlando,1,-85.6915955,30.0960368,-81.4617047,28.4114555
Six Flags Discovery Kingdom,Gulf of Mexico,1,-122.2340155,38.13819549999999,-90.065918,25.304304
Six Flags Discovery Kingdom,SeaWorld San Diego,1,-122.2340155,38.13819549999999,-117.2266083,32.7647903
Six Flags Discovery Kingdom,Six Flags Great Adventure,1,-122.2340155,38.13819549999999,-74.4402149,40.1370678
Six Flags Discovery Kingdom,Six Flags Worlds of Adventure,1,-122.2340155,38.13819549999999,-74.4402149,40.1370678
Six Flags Over Texas,Mirage Dolphin Habitat,1,-97.0711714,32.7551732,-115.1784079,36.1203291
Six Flags Worlds of Adventure,Six Flags Discovery Kingdom,1,-74.4402149,40.1370678,-122.2340155,38.13819549999999
"South Padre Island, Texas",UT Pan-Am Coastal Studies Lab,1,-97.16812569999999,26.1118401,-97.15857109999999,26.0752042
Sugarloaf Dolphin Sanctuary,Dolphin Research Center,1,-76.6082871,39.2850948,-74.9064696,38.9513858
Sugarloaf Dolphin Sanctuary,Florida,1,-76.6082871,39.2850948,-81.5157535,27.6648274
Sugarloaf Dolphin Sanctuary,Naval Base Point Loma,1,-76.6082871,39.2850948,-117.2400346,32.6889711
Sugarloaf Dolphin Sanctuary,Near Key West,1,-76.6082871,39.2850948,-81.7799871,24.5550593
Taiji,Indianapolis Zoo,1,-94.21867499999999,36.391527,-86.18073,39.767442
"Tampa Bay, Florida",Clearwater Marine Aquarium,1,-82.5436722,27.763383,-82.8191129,27.9768545
Texas Marine Mammal Stranding Network,Brookfield Zoo,1,-94.8139686,29.2758286,-87.8357137,41.8328916
Texas MM Stranding Network,SeaWorld San Antonio,1,-94.8139686,29.2758286,-98.69931509999999,29.4584176
Texas MM Stranding Network,Six Flags Discovery Kingdom,1,-94.8139686,29.2758286,-122.2340155,38.13819549999999
Texas State Aquarium,TMMSN,1,-97.39196919999999,27.8137645,-94.8139686,29.2758286
"Texas State Aquarium, Sea Lab",SeaWorld San Antonio,1,-97.39196919999999,27.8137645,-98.69931509999999,29.4584176
"Texas, Gulf Coast",TMMSN,1,-97.1200556,27.7484054,-94.8139686,29.2758286
Theater of the Sea,Dolphin Research Center,1,-71.5627531,41.3770733,-74.9064696,38.9513858
Theater of the Sea,"Hull Aquarium, Mass.",1,-71.5627531,41.3770733,-71.0497542,42.3591346
Theater of the Sea,Ocean Reef Club,1,-71.5627531,41.3770733,-80.27799320000001,25.3143234
Theater of the Sea,SeaWorld Orlando,1,-71.5627531,41.3770733,-81.4617047,28.4114555
"Three Sisters Island, Florida",SeaWorld Orlando,1,-82.2492608,26.7645136,-81.4617047,28.4114555
TMMSN,Theater of the Sea,1,-94.8139686,29.2758286,-71.5627531,41.3770733
UT Pan-Am Coastal Studies Lab,SeaWorld San Antonio,1,-97.15857109999999,26.0752042,-98.69931509999999,29.4584176
UT Pan-Am Coastal Studies Lab,TMMSN,1,-97.15857109999999,26.0752042,-94.8139686,29.2758286
Utrish,La Feria de Chapultapec,1,37.3864462,44.7597663,-99.19622749999999,19.4146944
Utrish,La Feria de Chapultepec,1,37.3864462,44.7597663,-99.19622749999999,19.4146944
Vancouver Aquarium,SeaWorld San Antonio,1,-123.1309293,49.3007961,-98.69931509999999,29.4584176
"Vero Beach, Florida",Mote Marine Laboratory,1,-80.39727359999999,27.6386434,-82.57789729999999,27.3333406
"Washington, US",Seattle Marine Aquarium,1,-120.7401385,47.7510741,-122.3429996,47.607445
West Edmonton Mall,Theater of the Sea,1,-113.6241906,53.5225151,-71.5627531,41.3770733
"White Sea, Russia",Utrish,1,39.7343119,65.8822357,37.3864462,44.7597663
Windsor Safari Park,SeaWorld Orlando,1,-0.6187676999999999,51.4667179,-81.4617047,28.4114555
Windsor Safari Park,SeaWorld San Diego,1,-0.6187676999999999,51.4667179,-117.2266083,32.7647903
Yukon Harbor,Seattle Marine Aquarium,1,-122.5287682,47.5341224,-122.3429996,47.607445
